,Wine,ID,Slug,Appellation,Color,Type,Region,Country,Classification,Vintage,Date,Primeurs,Score,Confidence,# ratings,LWIN,LWIN11
0,"Continuum, Proprietary Red, Oakville",45683,continuum-proprietary-red-oakville,Oakville,Red,,California,Usa,,2014,2020-01-20,False,93.83,C,3,1186543,
1,"Chateau D'Yquem, Blanc, Sauternes",33529,chateau-dyquem-blanc-sauternes,Sauternes,White,sweet,Bordeaux,France,1er Grand Cru Classé en 1855,1988,2020-01-19,False,97.73,B+,7,1017757,
2,"Chateau Palmer, Margaux",39755,chateau-palmer-margaux,Margaux,Red,,Bordeaux,France,3eme Grand Cru classé en 1855,1970,2020-01-19,False,92.35,B,6,1013658,
3,"Chateau La Conseillante, Pomerol",37148,chateau-la-conseillante-pomerol,Pomerol,Red,,Bordeaux,France,,1970,2020-01-19,False,89.66,C,3,1008746,
4,"Chateau La Gravette De Certan, Pomerol",37459,chateau-la-gravette-de-certan-pomerol,Pomerol,Red,,Bordeaux,France,,2010,2020-01-14,False,92.06,A+,4,1010992,
5,"Chateau Palmer, Margaux",39755,chateau-palmer-margaux,Margaux,Red,,Bordeaux,France,3eme Grand Cru classé en 1855,1983,2020-01-12,False,96.55,B,9,1013658,
6,"Famille Esquissaud, Cap De Faugeres, Castillon Cotes De Bordeaux",71914,famille-esquissaud-cap-de-faugeres-castillon-cotes-de-bordeaux,Castillon Cotes De Bordeaux,Red,,Bordeaux,France,,2017,2020-01-09,False,88.32,A,10,,
7,"Chateau Trotanoy, Pomerol",41521,chateau-trotanoy-pomerol,Pomerol,Red,,Bordeaux,France,,1982,2019-12-23,False,95.17,A,10,1015955,
8,"Chateau Bastor Lamontagne, Blanc, Sauternes",32285,chateau-bastor-lamontagne-blanc-sauternes,Sauternes,White,sweet,Bordeaux,France,,2017,2019-12-22,False,90.58,A,14,,
9,"Chateau Capet Guillier, Saint Emilion Grand Cru",33051,chateau-capet-guillier-saint-emilion-grand-cru,Saint Emilion Grand Cru,Red,,Bordeaux,France,,2017,2019-12-21,False,88.56,A,6,,
10,"Chateau Cadet Bon, Saint Emilion Grand Cru",32888,chateau-cadet-bon-saint-emilion-grand-cru,Saint Emilion Grand Cru,Red,,Bordeaux,France,Grand Cru classé,2017,2019-12-21,False,88.3,A+,10,1007417,
11,"Chateau Canon Pecresse, Canon Fronsac",32983,chateau-canon-pecresse-canon-fronsac,Canon Fronsac,Red,,Bordeaux,France,,2017,2019-12-21,False,86.73,A,5,,
12,"Chateau Calon Segur, Marquis De Calon, Saint Estephe",32920,chateau-calon-segur-marquis-de-calon-saint-estephe,Saint Estephe,Red,,Bordeaux,France,,2017,2019-12-19,False,90.16,A+,13,1012824,
13,"Chateau D'Yquem, Blanc, Sauternes",33529,chateau-dyquem-blanc-sauternes,Sauternes,White,sweet,Bordeaux,France,1er Grand Cru Classé en 1855,2003,2019-12-18,False,96.24,A,10,1017757,
14,"Chateau La Conseillante, Pomerol",37148,chateau-la-conseillante-pomerol,Pomerol,Red,,Bordeaux,France,,1989,2019-12-18,False,93.79,B,6,1008746,
15,"Chateau Canon, Saint Emilion Grand Cru",32990,chateau-canon-saint-emilion-grand-cru,Saint Emilion Grand Cru,Red,,Bordeaux,France,Premier Grand Cru classé B,2017,2019-12-17,False,94.08,A+,15,1007521,
16,"Chateau Canon La Gaffeliere, Saint Emilion Grand Cru",32979,chateau-canon-la-gaffeliere-saint-emilion-grand-cru,Saint Emilion Grand Cru,Red,,Bordeaux,France,Premier Grand Cru classé B,2017,2019-12-16,False,90.89,A,15,1007589,
17,"Chateau Carbonnieux, Blanc, Pessac Leognan",33070,chateau-carbonnieux-blanc-pessac-leognan,Pessac Leognan,White,dry,Bordeaux,France,Grand Cru Classé de Graves,2017,2019-12-16,False,90.8,A,15,1016604,
18,"Chateau Bertineau, St-Vincent, Lalande De Pomerol",32597,chateau-bertineau-st-vincent-lalande-de-pomerol,Lalande De Pomerol,Red,,Bordeaux,France,,2017,2019-12-16,False,87.67,B+,4,,
19,"Chateau Bernadotte, Haut Medoc",32585,chateau-bernadotte-haut-medoc,Haut Medoc,Red,,Bordeaux,France,Cru Bourgeois,2017,2019-12-15,False,87.68,A,8,1007042,
20,"Chateau Citran, Haut Medoc",33263,chateau-citran-haut-medoc,Haut Medoc,Red,,Bordeaux,France,,2017,2019-12-15,False,87.48,A,12,1008137,
21,"Vignobles Meyre, Chateau Cap Leon Veyrin, Listrac Medoc",140123,vignobles-meyre-chateau-cap-leon-veyrin-listrac-medoc,Listrac Medoc,Red,,Bordeaux,France,Cru Bourgeois,2017,2019-12-15,False,86.55,B,6,,
22,"Chateau Calon Segur, Saint Estephe",32921,chateau-calon-segur-saint-estephe,Saint Estephe,Red,,Bordeaux,France,3eme Grand Cru classé en 1855,2017,2019-12-14,False,93.93,A+,14,1007475,
23,"Chateau Carbonnieux, Pessac Leognan",33075,chateau-carbonnieux-pessac-leognan,Pessac Leognan,Red,,Bordeaux,France,Grand Cru Classé de Graves,2017,2019-12-14,False,89.27,A,14,1007749,
24,"Chateau Cantemerle, Haut Medoc",33014,chateau-cantemerle-haut-medoc,Haut Medoc,Red,,Bordeaux,France,5eme Grand Cru classé en 1855,2017,2019-12-14,False,89.23,A,15,1007651,
25,"Chateau D'Issan, Margaux",33524,chateau-dissan-margaux,Margaux,Red,,Bordeaux,France,3eme Grand Cru classé en 1855,2009,2019-12-12,False,92.3,A,17,1011654,
26,"Chateau Cap De Mourlin, Saint Emilion Grand Cru",33036,chateau-cap-de-mourlin-saint-emilion-grand-cru,Saint Emilion Grand Cru,Red,,Bordeaux,France,Grand Cru classé,2017,2019-12-12,False,88.23,A+,13,,
27,"Chateau Cantelys, Pessac Leognan",33012,chateau-cantelys-pessac-leognan,Pessac Leognan,Red,,Bordeaux,France,,2017,2019-12-11,False,88.36,A,9,,
28,"Chateau Cantenac Brown, Margaux",33020,chateau-cantenac-brown-margaux,Margaux,Red,,Bordeaux,France,3eme Grand Cru classé en 1855,2017,2019-12-10,False,90.77,A,15,1007677,
29,"Chateau Haut Brion, Pessac Leognan",36417,chateau-haut-brion-pessac-leognan,Pessac Leognan,Red,,Bordeaux,France,1er Grand Cru Classé en 1855,1989,2019-12-06,False,99.37,A+,11,1011247,
30,"Chateau Latour, Pauillac",38177,chateau-latour-pauillac,Pauillac,Red,,Bordeaux,France,1er Grand Cru Classé en 1855,1990,2019-12-06,False,96.25,B,9,1012316,
31,"Chateau Rieussec, Blanc, Sauternes",40426,chateau-rieussec-blanc-sauternes,Sauternes,White,sweet,Bordeaux,France,1er Grand Cru Classé en 1855,1999,2019-12-01,False,94.1,C,4,1017483,
32,"Gaston Hochar, Chateau Musar, Bekaa Valley",147626,gaston-hochar-chateau-musar-bekaa-valley,Bekaa Valley,Red,,Lebanon,Lebanon,,1999,2019-12-01,False,93.92,B,4,1106673,
33,"Chateau De Beaucastel, Chateauneuf Du Pape",33712,chateau-de-beaucastel-chateauneuf-du-pape,Chateauneuf Du Pape,Red,,Rhone,France,,1999,2019-12-01,False,92.65,B,6,1108387,
34,"Chateau Climens, Blanc, Barsac",33283,chateau-climens-blanc-barsac,Barsac,White,sweet,Bordeaux,France,1er Grand Cru Classé en 1855,1999,2019-12-01,False,91.87,B,6,1016691,
35,"Baron Philippe De Rothschild, Chateau D'Armailhac, Pauillac",8842,baron-philippe-de-rothschild-chateau-darmailhac-pauillac,Pauillac,Red,,Bordeaux,France,5eme Grand Cru classé en 1855,2009,2019-12-01,False,91.76,A,17,1223037,
36,"Chateau Cantemerle, Haut Medoc",33014,chateau-cantemerle-haut-medoc,Haut Medoc,Red,,Bordeaux,France,5eme Grand Cru classé en 1855,2009,2019-12-01,False,91.0,A,17,1007651,
37,"Chateau Sociando Mallet, Haut Medoc",40946,chateau-sociando-mallet-haut-medoc,Haut Medoc,Red,,Bordeaux,France,,2009,2019-12-01,False,90.57,A,14,1015274,
38,"Chateau Leoville Barton, Saint Julien",38498,chateau-leoville-barton-saint-julien,Saint Julien,Red,,Bordeaux,France,2eme Grand Cru classé en 1855,1999,2019-12-01,False,90.23,B+,8,1012361,
39,"Chateau Guiraud, Blanc, Sauternes",36338,chateau-guiraud-blanc-sauternes,Sauternes,White,sweet,Bordeaux,France,1er Grand Cru Classé en 1855,1999,2019-12-01,False,90.1,A,6,1017047,
40,"Chateau Doisy Vedrines, Blanc, Sauternes",35234,chateau-doisy-vedrines-blanc-sauternes,Sauternes,White,sweet,Bordeaux,France,2eme Grand Cru classé en 1855,1999,2019-12-01,False,89.32,B,5,1016848,
41,"Chateau Figeac, Saint Emilion Grand Cru",35687,chateau-figeac-saint-emilion-grand-cru,Saint Emilion Grand Cru,Red,,Bordeaux,France,Premier Grand Cru classé B,2004,2019-11-16,False,90.2,B,11,1009769,
42,"Joseph Phelps Vineyards, Insignia, Napa Valley",89577,joseph-phelps-vineyards-insignia-napa-valley,Napa Valley,Red,,California,Usa,,2016,2019-11-14,False,96.34,A,3,1122981,
43,"Chateau Gloria, Saint Julien",36044,chateau-gloria-saint-julien,Saint Julien,Red,,Bordeaux,France,,2004,2019-11-14,False,89.03,B+,8,1010598,
44,"Chateau Poujeaux, Moulis En Medoc",40209,chateau-poujeaux-moulis-en-medoc,Moulis En Medoc,Red,,Bordeaux,France,,2004,2019-11-14,False,88.32,B+,9,1014349,
45,"Chateau La Conseillante, Pomerol",37148,chateau-la-conseillante-pomerol,Pomerol,Red,,Bordeaux,France,,1982,2019-11-13,False,94.39,B,9,1008746,
46,"Chateau Ducru Beaucaillou, Saint Julien",35559,chateau-ducru-beaucaillou-saint-julien,Saint Julien,Red,,Bordeaux,France,2eme Grand Cru classé en 1855,2004,2019-11-13,False,91.8,B+,11,1009479,
47,"Chateau Leoville Barton, Saint Julien",38498,chateau-leoville-barton-saint-julien,Saint Julien,Red,,Bordeaux,France,2eme Grand Cru classé en 1855,2004,2019-11-13,False,91.73,A,11,1012361,
48,"E. Guigal, Ex-Voto, Hermitage",68467,e-guigal-ex-voto-hermitage,Hermitage,Red,,Rhone,France,,2009,2019-11-11,False,97.41,B+,6,1113257,
49,"Chateau Montrose, Saint Estephe",39489,chateau-montrose-saint-estephe,Saint Estephe,Red,,Bordeaux,France,2eme Grand Cru classé en 1855,2004,2019-11-11,False,90.81,A+,12,1013296,
50,"Baron Philippe De Rothschild, Chateau D'Armailhac, Pauillac",8842,baron-philippe-de-rothschild-chateau-darmailhac-pauillac,Pauillac,Red,,Bordeaux,France,5eme Grand Cru classé en 1855,2004,2019-11-11,False,88.48,A,11,1223037,
51,"Chateau Calon Segur, Saint Estephe",32921,chateau-calon-segur-saint-estephe,Saint Estephe,Red,,Bordeaux,France,3eme Grand Cru classé en 1855,2004,2019-11-11,False,88.35,C,9,1007475,
52,"Chateau Mouton Rothschild, Pauillac",39642,chateau-mouton-rothschild-pauillac,Pauillac,Red,,Bordeaux,France,1er Grand Cru Classé en 1855,2005,2019-11-08,False,97.87,A+,17,1013544,
53,"Chateau Figeac, Saint Emilion Grand Cru",35687,chateau-figeac-saint-emilion-grand-cru,Saint Emilion Grand Cru,Red,,Bordeaux,France,Premier Grand Cru classé B,2015,2019-11-08,False,96.88,A+,18,1009769,
54,"Chateau Haut Bailly, Pessac Leognan",36357,chateau-haut-bailly-pessac-leognan,Pessac Leognan,Red,,Bordeaux,France,Grand Cru Classé de Graves,2015,2019-11-08,False,96.03,A,19,1011191,
55,"Chateau Belair-Monange, Saint Emilion Grand Cru",32470,chateau-belair-monange-saint-emilion-grand-cru,Saint Emilion Grand Cru,Red,,Bordeaux,France,Premier Grand Cru classé B,2015,2019-11-08,False,95.98,A,20,1006700,
56,"Chateau La Conseillante, Pomerol",37148,chateau-la-conseillante-pomerol,Pomerol,Red,,Bordeaux,France,,2010,2019-11-08,False,95.17,A,20,1008746,
57,"Chateau La Fleur-Petrus, Pomerol",37358,chateau-la-fleur-petrus-pomerol,Pomerol,Red,,Bordeaux,France,,2010,2019-11-08,False,94.99,A,16,1010107,
58,"Chateau Doisy Vedrines, Blanc, Sauternes",35234,chateau-doisy-vedrines-blanc-sauternes,Sauternes,White,sweet,Bordeaux,France,2eme Grand Cru classé en 1855,2015,2019-11-08,False,92.83,A+,19,1016848,
59,"Chateau Rabaud-Promis, Blanc, Sauternes",40329,chateau-rabaud-promis-blanc-sauternes,Sauternes,White,sweet,Bordeaux,France,1er Grand Cru Classé en 1855,2015,2019-11-08,False,91.97,B+,14,1017438,
60,"Chateau Canon, Saint Emilion Grand Cru",32990,chateau-canon-saint-emilion-grand-cru,Saint Emilion Grand Cru,Red,,Bordeaux,France,Premier Grand Cru classé B,2010,2019-11-08,False,91.77,B+,18,1007521,
61,"Chateau Croix De Labrie, Saint Emilion Grand Cru",33491,chateau-croix-de-labrie-saint-emilion-grand-cru,Saint Emilion Grand Cru,Red,,Bordeaux,France,,2015,2019-11-08,False,91.62,B,11,1009033,
62,"Chateau Clerc-Milon, Pauillac",33282,chateau-clerc-milon-pauillac,Pauillac,Red,,Bordeaux,France,5eme Grand Cru classé en 1855,2006,2019-11-08,False,90.04,A,12,1008212,
63,"Chateau Filhot, Blanc, Sauternes",35688,chateau-filhot-blanc-sauternes,Sauternes,White,sweet,Bordeaux,France,2eme Grand Cru classé en 1855,2015,2019-11-08,False,89.55,A,19,1016949,
64,"Chateau Nairac, Blanc, Barsac",39664,chateau-nairac-blanc-barsac,Barsac,White,sweet,Bordeaux,France,2eme Grand Cru classé en 1855,2015,2019-11-07,False,92.16,B+,10,,
65,"Chateau De Malle, Blanc, Sauternes",34540,chateau-de-malle-blanc-sauternes,Sauternes,White,sweet,Bordeaux,France,2eme Grand Cru classé en 1855,2015,2019-11-07,False,91.62,A+,16,1017281,
66,"Chateau De Myrat, Blanc, Barsac",34668,chateau-de-myrat-blanc-barsac,Barsac,White,sweet,Bordeaux,France,2eme Grand Cru classé en 1855,2015,2019-11-07,False,90.71,A,17,1017337,
67,"Chateau Quintus, Saint Emilion Grand Cru",40327,chateau-quintus-saint-emilion-grand-cru,Saint Emilion Grand Cru,Red,,Bordeaux,France,,2011,2019-11-06,False,89.49,A+,13,1170911,
68,"Gaja, Costa Russi, Langhe Barbaresco",147629,gaja-costa-russi-langhe-barbaresco,Langhe Barbaresco,Red,,Piedmont,Italy,,1990,2019-11-02,False,96.38,B+,6,1099722,
69,"Gaja, Barbaresco, Barbaresco",147628,gaja-barbaresco-barbaresco,Barbaresco,Red,,Piedmont,Italy,,1982,2019-11-02,False,94.68,B+,3,1099605,
70,"Gallica, Cabernet Sauvignon, Oakville",77600,gallica-cabernet-sauvignon-oakville,Oakville,Red,,California,Usa,,2010,2019-11-02,False,93.32,B,10,,
71,"Chateau Lafleur, Les Pensees De Lafleur, Pomerol",37919,chateau-lafleur-les-pensees-de-lafleur-pomerol,Pomerol,Red,,Bordeaux,France,,2010,2019-11-02,False,92.27,B+,11,1013935,
